specialty_code,specialty_group,available,occupied
100,general_and_acute,57.37302408558006,63.80854425854426
101,general_and_acute,10.942208306762954,12.169593535575535
110,general_and_acute,50.32368386859634,55.968481016314094
120,general_and_acute,4.551124663514722,5.061623369980594
130,general_and_acute,0.657246968109292,0.7309702237560165
140,general_and_acute,0.8434531039109774,0.9380630630630631
141,general_and_acute,0.001745193903906963,0.0019409519409519412
142,general_and_acute,0.011534250912087063,0.012828045436741087
143,general_and_acute,0.003330160314227682,0.0037037037037037034
145,general_and_acute,0.5554098359045444,0.6177100416230852
146,general_and_acute,0.003213741666344868,0.003574226400313357
148,general_and_acute,3.521908675446432e-4,3.916960438699569e-4
150,general_and_acute,5.767256076282868,6.414167990254947
160,general_and_acute,2.704844664919077,3.0082465281336805
170,general_and_acute,4.730712845652636,5.26135592113853
171,general_and_acute,0.6368223558289526,0.7082545869663359
180,general_and_acute,5.811666957657316,6.463560430951735
190,general_and_acute,0.44747109716470296,0.49766383701969763
192,general_and_acute,0.8824822699769703,0.9814701225651246
300,general_and_acute,124.26477616577733,138.20353025011602
301,general_and_acute,21.677317569825856,24.108857770814293
302,general_and_acute,10.15059251902745,11.289182369656553
303,general_and_acute,7.928343704171358,8.817664367664367
304,general_and_acute,3.130585489285717e-4,3.481742612177395e-4
305,general_and_acute,0.4036876550137704,0.4489692152735631
310,general_and_acute,1.760954337723216e-4,1.9584802193497845e-4
311,general_and_acute,0.0024653360728125024,0.0027418723070896985
313,general_and_acute,0.006463766732505463,0.007188806101849579
314,general_and_acute,8.042825130272485,8.94498715150889
315,general_and_acute,1.9473327665198754,2.1657646777211994
320,general_and_acute,24.533553335753645,27.285476908253955
321,general_and_acute,0.2274857899353227,0.2530028236549976
326,general_and_acute,3.7651743578509453,4.1875131820783995
330,general_and_acute,0.279486932787844,0.3108369238804021
340,general_and_acute,29.681026863474692,33.01034147044505
350,general_and_acute,2.0974315904756646,2.3327000555261423
352,general_and_acute,0.006779674200234381,0.00754014884449667
360,general_and_acute,0.06779287177303014,0.07539718409283629
361,general_and_acute,8.88260909042977,9.878969503726921
370,general_and_acute,3.604539365944737,4.008859796556503
371,general_and_acute,0.011402179336757821,0.012681159420289854
400,general_and_acute,7.248021351592582,8.061030398364666
401,general_and_acute,0.004767294715402906,0.005302041171606389
410,general_and_acute,1.2172743605706542,1.3538157722940332
420,general_and_acute,21.290205461924355,23.67832337832338
421,general_and_acute,0.2313737470493841,0.25732689210950077
430,general_and_acute,96.92272668928159,107.79452877343105
450,general_and_acute,5.77201699587054e-4,6.419462941202071e-4
451,general_and_acute,1.3255535399345087e-4,1.4742406046753875e-4
460,general_and_acute,5.302214159738035e-4,5.89696241870155e-4
502,general_and_acute,6.98219275384424,7.7653838621229925
800,general_and_acute,3.4145090486966576,3.797513818165992
810,general_and_acute,0.17757140907383495,0.19748955707892785
820,general_and_acute,0.0014727082589501093,0.0016379016379016382
821,general_and_acute,7.484055935323666e-4,8.323540932236584e-4
822,general_and_acute,0.0023733751240647342,0.0026395961178569873
823,general_and_acute,0.620781829340074,0.6904147979590625
824,general_and_acute,0.003542313384439098,0.003939653939653939
830,general_and_acute,0.001702664384004441,0.0018936518936518935
831,general_and_acute,0.00920489964646541,0.010237411324367847
833,general_and_acute,0.044961120476483235,0.050004400004400006
834,general_and_acute,0.0020250974883816984,0.0022522522522522522
900,general_and_acute,0.5878946056488957,0.6538386212299256
901,general_and_acute,9.000433281696438e-5,1.001001001001001e-4
700,learning_disabilities,0.025804309286776718,0.050568604916431
501,maternity,17.510370173058924,29.89012925969448
710,mental_illness,0.07783525709308411,0.12718432718432718
711,mental_illness,0.013724246668025951,0.02242568655612134
715,mental_illness,0.2254808962305058,0.3684401793097445
